"","date","Team","Opponent","Player","#","Pos","Age","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG","npxG","xAG","SCA","GCA","Cmp","Att","Cmp%","PrgP","Carries","PrgC","Att","Succ"
"1","July-22-2023","United States","Vietnam","Alex Morgan","13","FW","34-020","62","0","1","0","1","4","0","0","0","22","0","1","2","1.6","0.8","0.8","6","1","11","13","84.6","2","8","0","1","0"
"2","July-22-2023","United States","Vietnam","Megan Rapinoe","15","LW","38-017","28","0","0","0","0","3","0","0","0","32","0","1","2","0.9","0.9","0.2","2","0","15","23","65.2","0","18","0","2","0"
"3","July-22-2023","United States","Vietnam","Sophia Smith","11","LW,FW","22-346","90","2","1","0","0","5","2","0","0","48","2","0","2","0.8","0.8","0.4","4","1","13","25","52.0","2","32","3","10","6"
"4","July-22-2023","United States","Vietnam","Trinity Rodman","20","RW","21-063","74","0","0","0","0","0","0","0","0","39","2","1","2","0.0","0.0","0.4","4","0","13","20","65.0","0","22","4","3","2"
"5","July-22-2023","United States","Vietnam","Alyssa Thompson","7","RW","18-257","16","0","0","0","0","0","0","0","0","9","0","0","0","0.0","0.0","0.0","1","0","4","6","66.7","1","6","1","1","1"
"6","July-22-2023","United States","Vietnam","Lindsey Horan","10","LM","29-057","90","1","0","0","0","5","1","1","0","89","1","5","1","0.5","0.5","0.4","5","1","46","64","71.9","13","54","2","12","7"
"7","July-22-2023","United States","Vietnam","Andi Sullivan","17","CM","27-214","90","0","0","0","0","1","0","0","0","58","2","2","1","0.0","0.0","0.1","5","1","32","50","64.0","5","19","0","2","2"
"8","July-22-2023","United States","Vietnam","Savannah Demelo","9","RM","25-118","62","0","0","0","0","2","1","0","0","29","4","0","2","0.3","0.3","0.3","2","0","14","19","73.7","5","15","1","2","1"
"9","July-22-2023","United States","Vietnam","Rose Lavelle","16","RM","28-069","28","0","0","0","0","1","1","0","0","23","0","0","0","0.1","0.1","0.7","3","0","15","20","75.0","4","11","1","2","2"
"10","July-22-2023","United States","Vietnam","Crystal Dunn","19","LB","31-019","83","0","0","0","0","0","0","0","0","55","2","1","2","0.0","0.0","0.0","1","0","37","45","82.2","5","24","2","0","0"
"11","July-22-2023","United States","Vietnam","Kelley O'Hara","5","LB","34-352","7","0","0","0","0","0","0","0","0","17","0","0","1","0.0","0.0","0.0","0","0","12","16","75.0","5","8","1","0","0"
"12","July-22-2023","United States","Vietnam","Naomi Girma","4","CB","23-038","90","0","0","0","0","0","0","0","0","86","1","0","0","0.0","0.0","0.0","3","0","75","83","90.4","10","70","1","1","1"
"13","July-22-2023","United States","Vietnam","Julie Ertz","8","CB","31-107","90","0","0","0","0","4","1","0","0","90","0","0","0","0.3","0.3","0.0","4","1","67","83","80.7","17","63","8","1","1"
"14","July-22-2023","United States","Vietnam","Emily Fox","23","RB","25-017","83","0","0","0","0","2","0","0","0","60","0","2","1","0.2","0.2","0.0","4","1","30","47","63.8","3","34","3","7","6"
"15","July-22-2023","United States","Vietnam","Sofia Huerta","3","RB","30-220","7","0","0","0","0","0","0","0","0","10","0","0","0","0.0","0.0","0.0","0","0","6","9","66.7","0","5","0","0","0"
"16","July-22-2023","United States","Vietnam","Alyssa Naeher","1","GK","35-093","90","0","0","0","0","0","0","0","0","9","0","0","0","0.0","0.0","0.0","0","0","9","9","100.0","0","6","0","0","0"
"17","July-22-2023","Vietnam","United States","Huỳnh Như","9","FW","31-236","75","0","0","0","0","0","0","1","0","20","0","0","1","0.0","0.0","0.0","0","0","13","15","86.7","1","15","0","2","0"
"18","July-22-2023","Vietnam","United States","Phạm Hải Yến","12","FW","28-255","15","0","0","0","0","0","0","0","0","14","1","0","0","0.0","0.0","0.0","0","0","5","10","50.0","0","9","0","1","0"
"19","July-22-2023","Vietnam","United States","Nguyễn Thị Tuyết Dung","7","LM","29-221","45","0","0","0","0","0","0","0","0","16","0","2","0","0.0","0.0","0.0","0","0","3","7","42.9","0","6","0","0","0"
"20","July-22-2023","Vietnam","United States","Ngân Thị Vạn Sự","21","RM,LM","22-084","45","0","0","0","0","0","0","0","0","19","0","2","0","0.0","0.0","0.0","0","0","3","12","25.0","0","11","0","2","1"
"21","July-22-2023","Vietnam","United States","Thái Thị Thảo","11","CM","28-160","90","0","0","0","0","0","0","0","0","52","4","1","0","0.0","0.0","0.0","0","0","19","38","50.0","1","24","0","1","1"
"22","July-22-2023","Vietnam","United States","Trần Thị Hải Linh","10","CM","22-044","88","0","0","0","0","0","0","0","0","33","2","1","1","0.0","0.0","0.0","0","0","15","24","62.5","1","9","0","0","0"
"23","July-22-2023","Vietnam","United States","Dương Thị Vân","16","CM","28-305","2","0","0","0","0","0","0","0","0","4","1","0","0","0.0","0.0","0.0","0","0","1","2","50.0","0","2","0","0","0"
"24","July-22-2023","Vietnam","United States","Nguyễn Thị Bích Thùy","23","RM","29-082","60","0","0","0","0","0","0","0","0","18","2","0","1","0.0","0.0","0.0","0","0","6","8","75.0","2","12","1","1","0"
"25","July-22-2023","Vietnam","United States","Nguyễn Thị Mỹ Anh","22","LM","28-237","30","0","0","0","0","0","0","0","0","8","1","0","0","0.0","0.0","0.0","0","0","3","6","50.0","1","3","0","0","0"
"26","July-22-2023","Vietnam","United States","Hoàng Thị Loan","5","LB","28-166","90","0","0","0","0","0","0","0","0","39","4","0","1","0.0","0.0","0.0","0","0","15","31","48.4","1","16","0","1","1"
"27","July-22-2023","Vietnam","United States","Trần Thị Thu","4","CB","32-007","90","0","0","0","0","0","0","0","0","45","2","3","2","0.0","0.0","0.0","0","0","11","27","40.7","0","12","0","0","0"
"28","July-22-2023","Vietnam","United States","Lê Thị Diễm My","13","CB","26-333","90","0","0","0","0","0","0","0","0","40","2","2","2","0.0","0.0","0.0","0","0","11","24","45.8","0","20","0","1","1"
"29","July-22-2023","Vietnam","United States","Lương Thị Thu Thương","2","CB","23-082","60","0","0","0","0","0","0","0","0","23","2","1","2","0.0","0.0","0.0","0","0","5","15","33.3","0","7","0","0","0"
"30","July-22-2023","Vietnam","United States","Chương Thị Kiều","3","CB","27-337","30","0","0","0","0","0","0","0","0","13","0","0","1","0.0","0.0","0.0","0","0","4","6","66.7","0","5","0","0","0"
"31","July-22-2023","Vietnam","United States","Trần Thị Thu Thảo","17","RB","30-188","90","0","0","0","0","0","0","0","0","51","6","2","2","0.0","0.0","0.0","0","0","16","30","53.3","2","16","0","0","0"
"32","July-22-2023","Vietnam","United States","Trần Thị Kim Thanh","14","GK","29-307","90","0","0","0","0","0","0","0","0","38","0","0","0","0.0","0.0","0.0","0","0","14","33","42.4","0","8","0","0","0"
"33","August-1-2023","Portugal","United States","Diana Silva","16","FW,AM","28-058","89","0","0","0","0","0","0","0","0","21","1","0","2","0.0","0.0","0.0","0","0","7","11","63.6","2","16","1","3","0"
"34","August-1-2023","Portugal","United States","Ana Capeta","21","AM","25-222","1","0","0","0","0","1","0","0","0","3","0","0","0","0.1","0.1","0.0","0","0","0","1","0.0","0","1","1","1","0"
"35","August-1-2023","Portugal","United States","Jéssica Silva","10","FW","28-233","90","0","0","0","0","1","0","0","0","43","3","0","2","0.1","0.1","0.0","2","0","11","21","52.4","3","29","3","7","2"
"36","August-1-2023","Portugal","United States","Kika Nazareth","20","AM","20-257","61","0","0","0","0","1","0","0","0","41","2","0","0","0.0","0.0","0.1","1","0","28","35","80.0","4","23","0","1","0"
"37","August-1-2023","Portugal","United States","Andreia Jacinto","6","LM","21-054","29","0","0","0","0","1","0","0","0","17","1","0","1","0.0","0.0","0.0","1","0","9","13","69.2","1","14","0","0","0"
"38","August-1-2023","Portugal","United States","Andreia Norton","8","LM,AM","26-351","80","0","0","0","0","1","0","0","0","40","1","0","2","0.1","0.1","0.0","0","0","24","30","80.0","2","25","0","2","1"
"39","August-1-2023","Portugal","United States","Telma Encarnação","23","FW","21-294","10","0","0","0","0","0","0","0","0","9","0","0","0","0.0","0.0","0.1","1","0","4","8","50.0","1","5","0","0","0"
"40","August-1-2023","Portugal","United States","Tatiana Pinto","11","RM","29-126","90","0","0","0","0","0","0","0","0","60","2","0","0","0.0","0.0","0.1","3","0","35","46","76.1","5","33","2","2","1"
"41","August-1-2023","Portugal","United States","Dolores Silva","14","DM","31-359","90","0","0","0","0","0","0","0","0","60","2","0","2","0.0","0.0","0.0","1","0","40","53","75.5","3","35","0","0","0"
"42","August-1-2023","Portugal","United States","Catarina Amado","2","LB","24-011","88","0","0","0","0","0","0","1","0","55","4","2","3","0.0","0.0","0.0","0","0","28","42","66.7","1","28","2","3","3"
"43","August-1-2023","Portugal","United States","Joana Marchão","5","LB","26-281","2","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","0","3","0.0","0","2","0","0","0"
"44","August-1-2023","Portugal","United States","Carole Costa","15","CB","33-090","90","0","0","0","0","0","0","1","0","49","0","0","0","0.0","0.0","0.0","1","0","29","42","69.0","1","32","0","0","0"
"45","August-1-2023","Portugal","United States","Diana Gomes","19","CB","25-006","90","0","0","0","0","1","0","1","0","57","1","3","2","0.0","0.0","0.0","0","0","25","42","59.5","3","32","0","1","0"
"46","August-1-2023","Portugal","United States","Ana Borges","9","RB","33-047","90","0","0","0","0","0","0","0","0","75","3","3","0","0.0","0.0","0.0","0","0","47","64","73.4","1","32","1","2","1"
"47","August-1-2023","Portugal","United States","Inês Pereira","1","GK","24-067","90","0","0","0","0","0","0","0","0","39","0","0","0","0.0","0.0","0.0","0","0","19","35","54.3","0","19","0","0","0"
"48","August-1-2023","United States","Portugal","Alex Morgan","13","FW","34-030","89","0","0","0","0","7","1","0","0","29","1","2","2","1.0","1.0","0.1","6","0","4","13","30.8","0","18","2","3","2"
"49","August-1-2023","United States","Portugal","Alyssa Thompson","7","FW","18-267","1","0","0","0","0","0","0","0","0","1","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","1","0","0","0"
"50","August-1-2023","United States","Portugal","Sophia Smith","11","LW","22-356","60","0","0","0","0","1","0","1","0","32","4","0","3","0.0","0.0","0.2","1","0","8","15","53.3","0","17","1","3","0"
"51","August-1-2023","United States","Portugal","Megan Rapinoe","15","LW","38-027","30","0","0","0","0","1","0","0","0","32","2","1","0","0.1","0.1","0.3","4","0","10","28","35.7","3","21","4","1","1"
"52","August-1-2023","United States","Portugal","Lynn Williams","6","RW","30-072","83","0","0","0","0","6","4","0","0","40","3","1","1","0.9","0.9","0.2","2","0","11","20","55.0","1","20","1","3","2"
"53","August-1-2023","United States","Portugal","Trinity Rodman","20","RW","21-073","7","0","0","0","0","0","0","0","0","2","0","0","0","0.0","0.0","0.0","0","0","0","1","0.0","0","3","0","0","0"
"54","August-1-2023","United States","Portugal","Lindsey Horan","10","LM","29-067","83","0","0","0","0","0","0","0","0","53","1","2","1","0.0","0.0","0.3","4","0","23","36","63.9","7","25","2","3","1"
"55","August-1-2023","United States","Portugal","Emily Sonnett","14","LM","29-249","7","0","0","0","0","0","0","0","0","3","0","0","0","0.0","0.0","0.0","0","0","2","2","100.0","0","2","0","0","0"
"56","August-1-2023","United States","Portugal","Andi Sullivan","17","CM","27-224","90","0","0","0","0","0","0","0","0","39","5","5","1","0.0","0.0","0.1","2","0","15","22","68.2","2","14","0","1","0"
"57","August-1-2023","United States","Portugal","Rose Lavelle","16","RM","28-079","90","0","0","0","0","1","0","1","0","44","5","1","0","0.1","0.1","0.4","5","0","15","28","53.6","2","12","1","2","1"
"58","August-1-2023","United States","Portugal","Crystal Dunn","19","LB","31-029","89","0","0","0","0","0","0","0","0","69","2","3","0","0.0","0.0","0.0","1","0","43","58","74.1","9","32","0","2","2"
"59","August-1-2023","United States","Portugal","Kelley O'Hara","5","LB","34-362","1","0","0","0","0","0","0","0","0","4","0","0","0","0.0","0.0","0.0","0","0","2","4","50.0","0","1","0","0","0"
"60","August-1-2023","United States","Portugal","Naomi Girma","4","CB","23-048","90","0","0","0","0","0","0","1","0","42","1","2","0","0.0","0.0","0.0","1","0","28","35","80.0","5","21","1","0","0"
"61","August-1-2023","United States","Portugal","Julie Ertz","8","CB","31-117","90","0","0","0","0","1","0","0","0","39","0","0","1","0.1","0.1","0.0","0","0","19","34","55.9","2","23","0","0","0"
"62","August-1-2023","United States","Portugal","Emily Fox","23","RB","25-027","90","0","0","0","0","0","0","0","0","39","2","0","0","0.0","0.0","0.0","2","0","23","34","67.6","6","16","1","1","1"
"63","August-1-2023","United States","Portugal","Alyssa Naeher","1","GK","35-103","90","0","0","0","0","0","0","0","0","21","0","0","0","0.0","0.0","0.0","0","0","16","20","80.0","0","9","0","0","0"
"64","July-27-2023","United States","Netherlands","Alex Morgan","13","FW","34-025","90","0","0","0","0","2","0","0","0","42","3","0","0","0.1","0.1","0.0","2","0","19","34","55.9","4","23","1","2","1"
"65","July-27-2023","United States","Netherlands","Sophia Smith","11","LW","22-351","90","0","0","0","0","3","0","0","0","41","3","0","0","0.1","0.1","0.2","4","0","9","23","39.1","3","28","6","7","4"
"66","July-27-2023","United States","Netherlands","Trinity Rodman","20","RW","21-068","90","0","0","0","0","4","1","0","0","62","3","3","3","0.2","0.2","0.1","3","0","14","33","42.4","0","32","4","3","2"
"67","July-27-2023","United States","Netherlands","Lindsey Horan","10","LM","29-062","90","1","0","0","0","3","2","0","0","55","2","1","1","0.3","0.3","0.1","3","0","32","43","74.4","7","25","1","3","1"
"68","July-27-2023","United States","Netherlands","Andi Sullivan","17","CM","27-219","90","0","0","0","0","1","0","0","0","45","1","3","0","0.0","0.0","0.0","3","0","30","39","76.9","1","22","0","1","1"
"69","July-27-2023","United States","Netherlands","Savannah Demelo","9","RM","25-123","45","0","0","0","0","1","0","0","0","26","4","0","1","0.1","0.1","0.2","4","0","11","13","84.6","2","16","0","1","0"
"70","July-27-2023","United States","Netherlands","Rose Lavelle","16","RM","28-074","45","0","1","0","0","1","0","1","0","36","3","1","0","0.0","0.0","0.2","3","1","14","25","56.0","3","11","1","3","0"
"71","July-27-2023","United States","Netherlands","Crystal Dunn","19","LB","31-024","90","0","0","0","0","1","0","0","0","79","2","5","2","0.0","0.0","0.0","3","0","47","64","73.4","11","52","2","2","2"
"72","July-27-2023","United States","Netherlands","Naomi Girma","4","CB","23-043","90","0","0","0","0","0","0","0","0","46","0","0","0","0.0","0.0","0.0","0","0","29","42","69.0","4","24","0","0","0"
"73","July-27-2023","United States","Netherlands","Julie Ertz","8","CB","31-112","90","0","0","0","0","2","0","0","0","49","1","1","1","0.1","0.1","0.0","1","0","26","40","65.0","1","27","1","0","0"
"74","July-27-2023","United States","Netherlands","Emily Fox","23","RB","25-022","90","0","0","0","0","0","0","0","0","58","2","2","0","0.0","0.0","0.1","2","0","34","49","69.4","2","22","1","2","1"
"75","July-27-2023","United States","Netherlands","Alyssa Naeher","1","GK","35-098","90","0","0","0","0","0","0","0","0","22","0","0","0","0.0","0.0","0.0","0","0","18","22","81.8","0","14","0","0","0"
"76","July-27-2023","Netherlands","United States","Lieke Martens","11","FW","30-223","90","0","0","0","0","0","0","0","0","45","0","0","4","0.0","0.0","0.0","1","1","29","36","80.6","4","34","2","2","2"
"77","July-27-2023","Netherlands","United States","Katja Snoeijs","9","FW","26-330","70","0","0","0","0","0","0","0","0","14","0","0","0","0.0","0.0","0.0","0","0","10","13","76.9","0","8","0","0","0"
"78","July-27-2023","Netherlands","United States","Damaris Egurrola","21","CM,FW","23-335","20","0","0","0","0","1","0","0","0","22","1","1","1","0.1","0.1","0.0","1","0","7","13","53.8","0","9","0","0","0"
"79","July-27-2023","Netherlands","United States","Esmee Brugts","22","LW","19-364","90","0","0","0","0","2","0","0","0","63","3","6","1","0.2","0.2","0.0","1","0","33","39","84.6","2","32","0","6","3"
"80","July-27-2023","Netherlands","United States","Victoria Pelova","17","RW","24-054","86","0","1","0","0","0","0","0","0","77","1","1","0","0.0","0.0","0.0","3","1","55","68","80.9","1","45","3","6","2"
"81","July-27-2023","Netherlands","United States","Kerstin Casparij","18","RW","22-342","4","0","0","0","0","0","0","0","0","6","0","0","0","0.0","0.0","0.0","0","0","1","5","20.0","0","4","0","0","0"
"82","July-27-2023","Netherlands","United States","Daniëlle van de Donk","10","CM","31-356","90","0","0","0","0","0","0","0","0","67","4","0","7","0.0","0.0","0.0","0","0","29","46","63.0","3","38","1","2","1"
"83","July-27-2023","Netherlands","United States","Jill Roord","6","CM,FW","26-096","89","1","0","0","0","1","1","0","0","66","0","0","2","0.0","0.0","0.2","2","0","55","61","90.2","3","55","2","5","5"
"84","July-27-2023","Netherlands","United States","Renate Jansen","13","FW","32-232","1","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0"
"85","July-27-2023","Netherlands","United States","Jackie Groenen","14","DM","28-222","90","0","0","0","0","0","0","0","0","53","2","1","0","0.0","0.0","0.0","0","0","33","39","84.6","0","28","0","3","2"
"86","July-27-2023","Netherlands","United States","Dominique Janssen","20","CB","28-191","90","0","0","0","0","1","0","0","0","78","3","2","4","0.0","0.0","0.0","0","0","38","51","74.5","2","35","0","1","0"
"87","July-27-2023","Netherlands","United States","Stefanie van der Gragt","3","CB","30-345","45","0","0","0","0","0","0","0","0","38","1","0","1","0.0","0.0","0.0","0","0","25","30","83.3","0","23","0","0","0"
"88","July-27-2023","Netherlands","United States","Aniek Nouwen","4","CB","24-140","45","0","0","0","0","0","0","0","0","30","1","0","3","0.0","0.0","0.0","0","0","12","18","66.7","0","8","0","0","0"
"89","July-27-2023","Netherlands","United States","Sherida Spitse","8","CB","33-059","90","0","0","0","0","0","0","0","0","95","6","0","2","0.0","0.0","0.1","1","0","61","77","79.2","4","59","0","0","0"
"90","July-27-2023","Netherlands","United States","Daphne van Domselaar","1","GK","23-143","90","0","0","0","0","0","0","0","0","36","0","0","0","0.0","0.0","0.0","0","0","14","33","42.4","0","13","0","0","0"
"91","August-6-2023","Sweden","United States","Stina Blackstenius","11","FW","27-182","111","0","0","0","0","3","0","0","0","33","1","0","1","0.4","0.4","0.0","2","0","15","20","75.0","0","18","0","3","1"
"92","August-6-2023","Sweden","United States","Rebecka Blomqvist","15","FW","26-013","9","0","0","0","0","0","0","0","0","0","0","0","0","0.0","0.0","0.0","0","0","0","0","","0","0","0","0","0"
"93","August-6-2023","Sweden","United States","Fridolina Rolfö","18","LW,FW","29-255","120","0","0","0","0","1","0","0","0","66","4","0","2","0.1","0.1","0.0","4","0","30","44","68.2","4","32","1","2","1"
"94","August-6-2023","Sweden","United States","Johanna Rytting Kaneryd","19","RW","26-175","81","0","0","0","0","0","0","0","0","30","0","0","1","0.0","0.0","0.0","1","0","15","21","71.4","1","16","1","2","1"
"95","August-6-2023","Sweden","United States","Sofia Jakobsson","10","RW,RM","33-105","39","0","0","0","0","1","1","0","0","18","1","0","2","0.0","0.0","0.1","1","0","7","10","70.0","1","9","2","1","0"
"96","August-6-2023","Sweden","United States","Kosovare Asllani","9","AM","34-008","81","0","0","0","0","0","0","1","0","32","3","0","1","0.0","0.0","0.4","3","0","13","19","68.4","5","22","3","3","1"
"97","August-6-2023","Sweden","United States","Lina Hurtig","8","AM,LM","27-335","39","0","0","0","0","0","0","0","0","21","0","0","2","0.0","0.0","0.0","0","0","5","12","41.7","0","9","0","1","0"
"98","August-6-2023","Sweden","United States","Elin Rubensson","23","DM,CM","30-087","120","0","0","0","0","2","0","0","0","62","2","5","3","0.1","0.1","0.0","1","0","28","44","63.6","3","24","0","0","0"
"99","August-6-2023","Sweden","United States","Filippa Angeldahl","16","DM","26-023","96","0","0","0","0","2","0","0","0","57","2","1","1","0.0","0.0","0.0","0","0","20","39","51.3","5","28","2","4","1"
"100","August-6-2023","Sweden","United States","Hanna Bennison","20","CM,DM","20-294","24","0","0","0","0","0","0","0","0","12","0","0","0","0.0","0.0","0.0","0","0","4","8","50.0","0","7","0","1","0"
"101","August-6-2023","Sweden","United States","Jonna Andersson","2","LB","30-216","120","0","0","0","0","0","0","0","0","86","5","2","1","0.0","0.0","0.0","1","0","41","63","65.1","3","26","1","1","1"
"102","August-6-2023","Sweden","United States","Magdalena Eriksson","6","CB","29-332","120","0","0","0","0","0","0","0","0","55","1","1","1","0.0","0.0","0.0","0","0","32","41","78.0","3","27","0","0","0"
"103","August-6-2023","Sweden","United States","Amanda Ilestedt","13","CB","30-201","120","0","0","0","0","0","0","0","0","69","2","1","1","0.0","0.0","0.0","0","0","46","52","88.5","0","40","0","0","0"
"104","August-6-2023","Sweden","United States","Nathalie Björn","14","RB","26-094","120","0","0","0","0","0","0","0","0","88","2","0","0","0.0","0.0","0.0","0","0","61","79","77.2","7","47","1","0","0"
"105","August-6-2023","Sweden","United States","Zećira Mušović","1","GK","27-072","120","0","0","0","0","0","0","0","0","46","0","0","0","0.0","0.0","0.0","1","0","21","38","55.3","0","17","0","0","0"
"106","August-6-2023","United States","Sweden","Alex Morgan","13","FW","34-035","98","0","0","0","0","3","3","0","0","40","0","2","0","0.2","0.2","0.1","4","0","16","28","57.1","4","20","1","3","1"
"107","August-6-2023","United States","Sweden","Megan Rapinoe","15","FW","38-032","22","0","0","0","0","0","0","0","0","18","0","0","0","0.0","0.0","0.0","0","0","7","16","43.8","1","9","2","2","2"
"108","August-6-2023","United States","Sweden","Sophia Smith","11","LW","22-361","120","0","0","0","0","4","2","0","0","57","3","0","2","0.2","0.2","0.1","4","0","18","31","58.1","5","34","4","8","5"
"109","August-6-2023","United States","Sweden","Trinity Rodman","20","RW","21-078","65","0","0","0","0","3","2","0","0","41","0","1","1","0.1","0.1","0.0","3","0","22","29","75.9","1","22","3","7","5"
"110","August-6-2023","United States","Sweden","Lynn Williams","6","RW","30-077","55","0","0","0","0","3","2","0","0","35","2","0","1","0.2","0.2","0.2","7","0","13","22","59.1","3","18","4","4","2"
"111","August-6-2023","United States","Sweden","Lindsey Horan","10","AM","29-072","120","0","0","0","0","4","1","0","0","87","2","2","3","0.4","0.4","0.0","5","0","43","68","63.2","12","48","4","2","1"
"112","August-6-2023","United States","Sweden","Andi Sullivan","17","DM","27-229","120","0","0","0","0","2","0","0","0","82","8","2","0","0.1","0.1","0.2","4","0","49","65","75.4","7","33","0","4","3"
